Altitude,vx,vy,mgas
1110.9458454964588,-6.613982118946068,1.9635708164469392,3.491566325960727
1226.3387475043228,-6.882935615838546,2.8858728442534383,3.491566325960727
1342.3393818383945,-7.129661424616131,3.7823059339338605,3.491566325960727
1458.9588073049856,-7.357379378435091,4.659734381492113,3.491566325960727
1576.2084540852525,-7.503185229879259,5.399372408462681,3.491566325960727
1694.0966250293175,-7.311758607351608,5.52906794177115,3.491566325960727
1812.6352035840148,-7.101719939897348,5.665564001286562,3.491566325960727
1931.8385453219605,-6.873996824732487,5.808462210387838,3.491566325960727
2051.721184769645,-6.607276696960285,5.95461113534458,3.491566325960727
2172.3834385129526,-4.992712876327868,5.9313097601578715,3.491566325960727
2293.9151002649983,-3.3891809816809824,5.896332322062026,3.491566325960727
2416.329846166814,-1.797752031451222,5.855143336987053,3.491566325960727
2539.6408205161247,-0.21928582586277245,5.813158486034278,3.491566325960727
2663.8665912758297,1.5349702146770756,5.237451096155007,3.491566325960727
2789.033114079542,3.333937309278212,4.503195550473821,3.491566325960727
2915.155236684708,5.122884352549855,3.7783153413474384,3.491566325960727
3042.249432894589,6.906980522033009,3.060845648710359,3.491566325960727
3170.324315092145,8.519889312026011,2.340030759869537,3.491566325960727
3299.293166973993,9.820268888272242,1.6082998546542178,3.491566325960727
3429.1444187749285,11.109798442042084,0.8795216273464981,3.491566325960727
3559.895202396791,12.388992473748058,0.1512347813347052,3.491566325960727
3691.5635145122187,13.658410155127982,-0.5789597074882776,3.491566325960727
3824.1549072485777,14.09526371906674,-0.9697710246960087,3.491566325960727
3957.663593011055,14.33677745123976,-1.2807473399955753,3.491566325960727
4092.108132226363,14.566718760633375,-1.5881004704264152,3.491566325960727
4227.508200848866,14.784961174247101,-1.8918511643025109,3.491566325960727
4363.884034366127,14.93853856445843,-2.155484103278045,3.491566325960727
4501.253388864077,14.724111447225066,-2.1680664329121946,3.491566325960727
4639.635012526834,14.502881092635645,-2.1783130281269703,3.491566325960727
4779.04984995823,14.275339302548142,-2.186348178722715,3.491566325960727
4919.519503858404,14.041345096712101,-2.1927268764567462,3.491566325960727
5061.064530276905,13.904828315635719,-2.285027528180949,3.491566325960727
5203.676962794083,14.037735408015472,-2.6091615569605136,3.491566325960727
5347.368111188124,14.16770298840114,-2.9351202899592153,3.491566325960727
5492.1611621753345,14.294701051839048,-3.262878879204377,3.491566325960727
5638.080262797094,14.418703297646903,-3.592416430052613,3.491566325960727
5785.149482677123,14.640506049595045,-3.9482994242987894,3.491566325960727
5933.369207925841,15.185869919379563,-4.389965657776831,3.491566325960727
6082.755148531177,15.724106440157168,-4.839808945385644,3.491566325960727
6233.334477785451,16.25496179352853,-5.298162910550392,3.491566325960727
6385.135232424821,16.778200410386216,-5.7653485469971795,3.491566325960727
6538.186397143344,17.293603980086687,-6.24167424714025,3.491566325960727
6692.505008846392,17.619041641537585,-6.511716373771433,3.491566325960727
6848.109615272419,17.944109817870714,-6.764764746903914,3.491566325960727
7005.033514679837,18.271237723930636,-7.003084904658919,3.491566325960727
7163.3117366011475,18.608469796514584,-7.2314727661508575,3.491566325960727
7322.981739033968,18.96036147063949,-7.461547187631493,3.491566325960727
7484.06513546831,19.39950626199483,-7.6083758209706485,3.491566325960727
7646.5077183945405,19.909642928376957,-7.653930391493841,3.491566325960727
7810.333689691302,20.41114979606749,-7.675052937879612,3.491566325960727
7975.583819215075,20.904710249787875,-7.672510224519189,3.491566325960727
8142.300946266257,21.391036413228065,-7.647112161514825,3.491566325960727
8310.530201207428,21.870866356059963,-7.599705665108382,3.491566325960727
8480.302724180217,22.261345777367172,-7.782221391160231,3.491566325960727
8651.625940250904,22.62558892694302,-8.05509996003691,3.491566325960727
8824.544843872574,22.992183351616056,-8.337461640992048,3.491566325960727
8999.107901559191,23.360799448149507,-8.628158877297734,3.491566325960727
9175.36550708993,23.731123512340066,-8.92603725382123,3.491566325960727
9353.370185206806,24.102857388263644,-9.22993656883191,3.491566325960727
9533.16613838604,24.72755154464663,-9.358670704010766,3.491566325960727
9714.779078625543,25.472022710156665,-9.41917851253845,3.491566325960727
9898.270843288992,26.220778585370446,-9.503678120474007,3.491566325960727
10083.710665196098,26.972783207029003,-9.617994034381018,3.491566325960727
10271.1696716156,27.72033532972444,-9.759021007279362,3.491566325960727
10460.723154353193,28.464236281951905,-9.927193049582455,3.491566325960727
10652.457030501071,29.210695572335975,-10.116509323345529,3.491566325960727
10846.631461322637,29.976950842026287,-10.284894920071181,3.491566325960727
11042.234236305214,30.737657418611047,-10.440577817341687,3.491566325960727
11237.794483383952,31.485299001392974,-10.582468289023168,3.491566325960727
11433.30334384768,32.218742063285084,-10.710430718708247,3.491566325960727
11628.760392389626,32.93729932424,-10.824453577020977,3.491566325960727
11824.16494080303,33.64056722642793,-10.924614629491037,3.491566325960727
12019.511164102363,34.32838201640012,-11.011062579322887,3.491566325960727
12214.80368126462,33.89470960885478,-10.747643571343787,3.491566325960727
12410.029354356166,33.44084863233526,-10.474305158192154,3.491566325960727
12605.187306334592,32.996749103876084,-10.202057934538907,3.491566325960727
12800.277034457724,32.5622442992522,-9.930721742152555,3.491566325960727
12995.29523703362,32.13713353923552,-9.660108683981235,3.491566325960727
13190.2421197783,31.721175893336046,-9.390016771141838,3.491566325960727
13385.112399059648,31.31429737245427,-9.1199807849459,3.491566325960727
13579.905835158957,30.915921752986236,-8.850343847183574,3.491566325960727
13774.616861294384,30.52594144493332,-8.580648314716694,3.491566325960727
13969.245062547587,29.66541421235116,-8.120307245403442,3.491566325960727
