Latitude,Longitude,Altitude
(40.23833380640849,44.50664090035887,1109.953253828899),
(40.23808845297588,44.507650357113036,1225.6151928666648),
(40.23785056469842,44.50885876310236,1341.9585052273744),
(40.23761802297956,44.510273241046,1458.9711471851806),
(40.237332494475424,44.512098976644424,1576.6632622066372),
(40.23682309654937,44.5149378701602,1695.0533630776256),
(40.236082423565875,44.51881811690259,1814.1504389478848),
(40.235116112652904,44.52372541851619,1933.9625241958959),
(40.23394505761973,44.529592448642475,2054.4982087733274),
(40.23267612661392,44.536030867772524,2175.7693870323224),
(40.23132977359101,44.542963672928146,2297.7853937723025),
(40.22990569495315,44.55038937698061,2420.5548967272425),
(40.22840625996781,44.55830222186251,2544.087567904897),
(40.22710238865594,44.56625348611938,2668.404209914525),
(40.226169993778576,44.57395626358295,2793.5181084772976),
(40.22560926111216,44.58141521409328,2919.4389960204344),
(40.22542034205814,44.58863483616047,3046.1776687875285),
(40.22556295175807,44.595823179679876,3173.756133797258),
(40.225905671568796,44.60363611504776,3302.188758596835),
(40.22643690921262,44.61211198575276,3431.4864177294367),
(40.227154845522,44.62123798096021,3561.660185525197),
(40.228057038378175,44.6310004524705,3692.7213408071652),
(40.22908605151597,44.64134251820705,3824.6813717285977),
(40.23020151635507,44.652224962133566,3957.551980746386),
(40.231401274078905,44.66363994273465,4091.350913994661),
(40.23268308645105,44.67557945127265,4226.110961369292),
(40.23405064532021,44.68802019488347,4361.847063593426),
(40.23556540751,44.70080565998606,4498.572665200693),
(40.237251194331755,44.71389824710392,4636.301477969273),
(40.23911700417297,44.72730016435631,4775.047487730433),
(40.24117182125722,44.74101363625803,4914.824961383194),
(40.243417233254945,44.75502525061087,5055.650673017752),
(40.24581387049444,44.769245503434334,5197.56507747722),
(40.2483633674202,44.78366524776628,5340.59158758964),
(40.25107637583506,44.7982886734889,5484.722671545441),
(40.25396426490041,44.81312461087095,5629.99900368893),
(40.257019205372416,44.82817536044612,5776.43788445322),
(40.2601125953011,44.84341820424536,5924.056991218688),
(40.2632027252583,44.85885005449141,6072.8781959797725),
(40.266271333543656,44.8744728964975,6222.948648775803),
(40.26930044862198,44.89028878079233,6374.294283447427),
(40.27227401782293,44.906303780625535,6526.935725424876),
(40.27522127570431,44.92262339303048,6680.894081927134),
(40.278158126077315,44.93929176292568,6836.190956394179),
(40.28108308923202,44.95630616951719,6992.848463433218),
(40.283994584389376,44.973663817885814,7150.908593466761),
(40.28689092923679,44.99136190549487,7310.422545749006),
(40.28979987375592,45.00942849521775,7471.416029990015),
(40.29278608468723,45.027923637171995,7633.915173226789),
(40.295850515064906,45.0468272575119,7797.946768850596),
(40.298992157311396,45.06611581372272,7963.538298394737),
(40.30221041315511,45.08576643186466,8131.746591763112),
(40.305506330628134,45.105761032974456,8305.32569352994),
(40.3088943201654,45.12605479794108,8484.639288410852),
(40.31239109362047,45.14663455703949,8669.931536433238),
(40.31600569901059,45.16752035828553,8861.464011977849),
(40.319746572229896,45.18873125599963,9056.982174403434),
(40.3236189291211,45.21027908669435,9252.559065698297),
(40.32760305287409,45.23219071877694,9448.160945746757),
(40.33156362323825,45.25457029726894,9642.488299543413),
(40.335467322682575,45.277404711496295,9834.414982925826),
(40.33931141445302,45.30067223820645,10023.734183838436),
(40.34309892395378,45.32436150754981,10213.139655252171),
(40.34683186058102,45.34846862657228,10404.81911356496),
(40.35050668102728,45.372974478941515,10598.82595902285),
(40.35403057727485,45.397557289598616,10794.39491625482),
(40.3573778507324,45.42208974181115,10989.965784089653),
(40.36056087916583,45.446566090731,11185.488229407783),
(40.36359166215171,45.47098097390335,11380.953965421104),
(40.3664817553024,45.49532939707344,11576.361078599853),
(40.36924265777207,45.51960281920524,11771.707616863898),
(40.37188922565508,45.543788683856114,11966.99164185284),
(40.37458181424894,45.56766344021566,12162.211018176615),
(40.377439293550346,45.59106586142673,12357.363538817004),
(40.380457226663246,45.61402073132673,12552.447035051522),
(40.383631317528206,45.63655161656447,12747.459207077836),
(40.38695743971889,45.65868083839445,12942.397741831546),
(40.390431649473086,45.680429459685335,13137.260234226394),
(40.39405019471816,45.70181728493933,13332.044178352167),
(40.39780955079513,45.72286296646246,13526.747049749261),
(40.40170640000523,45.7435840264229,13721.366178160224),
(40.405545662612845,45.76398822757295,13915.898851442094),
(40.40897177776963,45.784067403135566,14110.342290495471),
(40.41198867100809,45.80381876064526,14304.693616009426),
(40.41460871259046,45.823240043173314,14498.94991709754),
(40.41684401518265,45.84232956145896,14693.108113382326),
(40.41870634502872,45.86108609215382,14887.165044081745)
